file1,file2,score,user_relation,score_with_nonoise
1.wav,97.wav,tensor([0.1906]),different,tensor([0.1257])
1.wav,98.wav,tensor([0.1762]),different,tensor([0.1579])
1.wav,99.wav,tensor([0.1466]),different,tensor([0.1870])
1.wav,100.wav,tensor([0.2438]),different,tensor([0.1280])
1.wav,101.wav,tensor([0.1636]),different,tensor([0.0794])
1.wav,102.wav,tensor([0.0758]),different,tensor([-0.0158])
1.wav,103.wav,tensor([0.0835]),different,tensor([0.0417])
1.wav,104.wav,tensor([0.0927]),different,tensor([0.0096])
1.wav,105.wav,tensor([0.0622]),different,tensor([-0.0041])
1.wav,106.wav,tensor([0.1727]),different,tensor([0.0310])
1.wav,107.wav,tensor([0.1481]),different,tensor([0.0047])
1.wav,108.wav,tensor([0.0910]),different,tensor([-0.0021])
1.wav,109.wav,tensor([0.1569]),different,tensor([0.0644])
1.wav,110.wav,tensor([0.1729]),different,tensor([0.0488])
1.wav,111.wav,tensor([0.1953]),different,tensor([0.2173])
1.wav,112.wav,tensor([0.2378]),different,tensor([0.1856])
1.wav,113.wav,tensor([0.2001]),different,tensor([0.2135])
1.wav,114.wav,tensor([0.2528]),different,tensor([0.1629])
1.wav,115.wav,tensor([0.2383]),different,tensor([0.1943])
1.wav,116.wav,tensor([0.1338]),different,tensor([0.1101])
1.wav,117.wav,tensor([0.0821]),different,tensor([-0.0413])
1.wav,118.wav,tensor([0.1127]),different,tensor([0.0409])
1.wav,119.wav,tensor([0.1187]),different,tensor([0.0969])
1.wav,120.wav,tensor([0.1455]),different,tensor([0.0205])
1.wav,121.wav,tensor([0.1662]),different,tensor([0.2938])
1.wav,122.wav,tensor([0.2848]),different,tensor([0.2896])
1.wav,123.wav,tensor([0.0843]),different,tensor([0.0058])
1.wav,124.wav,tensor([0.3827]),different,tensor([0.3655])
1.wav,125.wav,tensor([0.3924]),different,tensor([0.3740])
1.wav,126.wav,tensor([0.2019]),different,tensor([0.1219])
1.wav,127.wav,tensor([0.2192]),different,tensor([0.1098])
1.wav,128.wav,tensor([0.1324]),different,tensor([0.0138])
1.wav,129.wav,tensor([0.2200]),different,tensor([0.1841])
1.wav,130.wav,tensor([0.1791]),different,tensor([0.0505])
1.wav,131.wav,tensor([0.0439]),different,tensor([-0.0397])
1.wav,132.wav,tensor([0.1466]),different,tensor([0.0600])
1.wav,133.wav,tensor([0.1620]),different,tensor([0.0595])
1.wav,134.wav,tensor([0.0977]),different,tensor([-0.0607])
1.wav,135.wav,tensor([0.1119]),different,tensor([-0.0203])
1.wav,136.wav,tensor([0.0876]),different,tensor([0.0288])
1.wav,137.wav,tensor([0.0744]),different,tensor([0.0793])
1.wav,138.wav,tensor([0.0159]),different,tensor([0.0319])
1.wav,139.wav,tensor([0.1963]),different,tensor([0.0053])
1.wav,140.wav,tensor([0.1429]),different,tensor([0.0201])
1.wav,141.wav,tensor([0.2432]),different,tensor([0.2038])
1.wav,142.wav,tensor([0.1782]),different,tensor([0.1276])
1.wav,143.wav,tensor([0.3075]),different,tensor([0.1453])
1.wav,144.wav,tensor([0.1538]),different,tensor([0.1171])
1.wav,145.wav,tensor([0.2349]),different,tensor([0.1595])
1.wav,146.wav,tensor([-0.0380]),different,tensor([-0.0205])
1.wav,147.wav,tensor([0.0647]),different,tensor([0.0536])
1.wav,148.wav,tensor([0.0121]),different,tensor([0.0370])
1.wav,149.wav,tensor([0.1286]),different,tensor([0.1428])
1.wav,150.wav,tensor([-0.0231]),different,tensor([-0.0270])
1.wav,151.wav,tensor([-0.0053]),different,tensor([0.0237])
1.wav,152.wav,tensor([-0.0121]),different,tensor([0.0586])
1.wav,153.wav,tensor([-0.0239]),different,tensor([0.0490])
1.wav,154.wav,tensor([-0.0768]),different,tensor([-0.0292])
1.wav,155.wav,tensor([0.0079]),different,tensor([0.0337])
1.wav,156.wav,tensor([0.1543]),different,tensor([0.1322])
1.wav,157.wav,tensor([0.1421]),different,tensor([0.0733])
1.wav,158.wav,tensor([0.1259]),different,tensor([0.0752])
1.wav,159.wav,tensor([0.1389]),different,tensor([0.1602])
1.wav,160.wav,tensor([0.1736]),different,tensor([0.1116])
1.wav,161.wav,tensor([-0.0064]),different,tensor([0.0051])
1.wav,162.wav,tensor([0.0698]),different,tensor([0.0677])
1.wav,163.wav,tensor([0.0877]),different,tensor([0.0138])
1.wav,164.wav,tensor([0.0550]),different,tensor([0.0197])
1.wav,165.wav,tensor([0.0641]),different,tensor([0.0709])
1.wav,166.wav,tensor([0.3052]),different,tensor([0.2104])
1.wav,167.wav,tensor([0.3057]),different,tensor([0.2534])
1.wav,168.wav,tensor([0.3607]),different,tensor([0.2273])
1.wav,169.wav,tensor([0.3109]),different,tensor([0.3108])
1.wav,170.wav,tensor([0.2518]),different,tensor([0.2968])
1.wav,171.wav,tensor([0.0570]),different,tensor([0.0655])
1.wav,172.wav,tensor([0.0534]),different,tensor([0.0583])
1.wav,173.wav,tensor([0.0956]),different,tensor([0.0706])
1.wav,174.wav,tensor([0.0577]),different,tensor([0.0660])
1.wav,175.wav,tensor([0.0953]),different,tensor([0.0762])
1.wav,176.wav,tensor([0.2231]),different,tensor([0.1610])
1.wav,177.wav,tensor([0.2896]),different,tensor([0.2804])
1.wav,178.wav,tensor([0.2637]),different,tensor([0.1764])
1.wav,179.wav,tensor([0.2556]),different,tensor([0.2181])
1.wav,180.wav,tensor([0.3048]),different,tensor([0.2219])
1.wav,181.wav,tensor([0.2449]),different,tensor([0.1307])
1.wav,182.wav,tensor([0.0477]),different,tensor([0.0497])
1.wav,183.wav,tensor([0.0902]),different,tensor([0.1348])
1.wav,184.wav,tensor([0.0393]),different,tensor([0.0062])
1.wav,185.wav,tensor([0.0768]),different,tensor([0.0797])
1.wav,186.wav,tensor([0.2107]),different,tensor([0.0816])
1.wav,187.wav,tensor([0.1527]),different,tensor([0.0767])
1.wav,188.wav,tensor([0.1586]),different,tensor([0.0340])
1.wav,189.wav,tensor([0.1305]),different,tensor([0.1257])
1.wav,190.wav,tensor([0.0959]),different,tensor([0.1213])
1.wav,191.wav,tensor([0.0119]),different,tensor([0.0560])
1.wav,192.wav,tensor([-0.0155]),different,tensor([0.0372])
1.wav,193.wav,tensor([0.1059]),different,tensor([0.0676])
1.wav,194.wav,tensor([0.1189]),different,tensor([0.0645])
1.wav,195.wav,tensor([0.1106]),different,tensor([0.1090])
1.wav,196.wav,tensor([0.0360]),different,tensor([0.0079])
1.wav,197.wav,tensor([0.0994]),different,tensor([0.0554])
1.wav,198.wav,tensor([0.1122]),different,tensor([0.0608])
1.wav,199.wav,tensor([0.1018]),different,tensor([0.0392])
1.wav,200.wav,tensor([0.0897]),different,tensor([0.0430])
2.wav,3.wav,tensor([0.7080]),same,tensor([0.8161])
2.wav,4.wav,tensor([0.6874]),same,tensor([0.6202])
2.wav,5.wav,tensor([0.6868]),same,tensor([0.6396])
2.wav,6.wav,tensor([0.4714]),different,tensor([0.3963])
2.wav,7.wav,tensor([0.5096]),different,tensor([0.5519])
2.wav,8.wav,tensor([0.5000]),different,tensor([0.5032])
2.wav,9.wav,tensor([0.5574]),different,tensor([0.5715])
2.wav,10.wav,tensor([0.6092]),different,tensor([0.5750])
2.wav,11.wav,tensor([0.3896]),different,tensor([0.3755])
2.wav,12.wav,tensor([0.3351]),different,tensor([0.3074])
2.wav,13.wav,tensor([0.3807]),different,tensor([0.3867])
2.wav,14.wav,tensor([0.3158]),different,tensor([0.2496])
2.wav,15.wav,tensor([0.2267]),different,tensor([0.2738])
2.wav,16.wav,tensor([0.1117]),different,tensor([0.1845])
2.wav,17.wav,tensor([0.2337]),different,tensor([0.1352])
2.wav,18.wav,tensor([0.1307]),different,tensor([0.1999])
2.wav,19.wav,tensor([0.1235]),different,tensor([0.1616])
2.wav,20.wav,tensor([0.1547]),different,tensor([0.0312])
2.wav,21.wav,tensor([0.2949]),different,tensor([0.2601])
2.wav,22.wav,tensor([0.2474]),different,tensor([0.2258])
2.wav,23.wav,tensor([0.2160]),different,tensor([0.1789])
2.wav,24.wav,tensor([0.2909]),different,tensor([0.3035])
2.wav,25.wav,tensor([0.1786]),different,tensor([0.2427])
2.wav,26.wav,tensor([0.2784]),different,tensor([0.1362])
2.wav,27.wav,tensor([0.2364]),different,tensor([0.0632])
2.wav,28.wav,tensor([0.2693]),different,tensor([0.1193])
2.wav,29.wav,tensor([0.3150]),different,tensor([0.1518])
2.wav,30.wav,tensor([0.2263]),different,tensor([0.2816])
2.wav,31.wav,tensor([0.2878]),different,tensor([0.4036])
2.wav,32.wav,tensor([0.4321]),different,tensor([0.4602])
2.wav,33.wav,tensor([0.2906]),different,tensor([0.2413])
2.wav,34.wav,tensor([0.3738]),different,tensor([0.3545])
2.wav,35.wav,tensor([0.4316]),different,tensor([0.3622])
2.wav,36.wav,tensor([0.1812]),different,tensor([0.1264])
2.wav,37.wav,tensor([0.1965]),different,tensor([0.1261])
2.wav,38.wav,tensor([0.1340]),different,tensor([0.0694])
2.wav,39.wav,tensor([0.1631]),different,tensor([0.1544])
2.wav,40.wav,tensor([0.1543]),different,tensor([0.0432])
2.wav,41.wav,tensor([0.1537]),different,tensor([0.1867])
2.wav,42.wav,tensor([0.1308]),different,tensor([0.3058])
2.wav,43.wav,tensor([0.0920]),different,tensor([0.3025])
2.wav,44.wav,tensor([0.1155]),different,tensor([0.1785])
2.wav,45.wav,tensor([0.1517]),different,tensor([0.2584])
2.wav,46.wav,tensor([0.0649]),different,tensor([0.1324])
2.wav,47.wav,tensor([-0.0098]),different,tensor([0.0890])
2.wav,48.wav,tensor([0.0810]),different,tensor([0.0883])
2.wav,49.wav,tensor([0.0914]),different,tensor([0.1920])
2.wav,50.wav,tensor([0.0646]),different,tensor([0.2001])
2.wav,51.wav,tensor([0.1957]),different,tensor([0.2566])
2.wav,52.wav,tensor([0.1885]),different,tensor([0.2431])
2.wav,53.wav,tensor([0.1997]),different,tensor([0.2037])
2.wav,54.wav,tensor([0.2036]),different,tensor([0.2395])
2.wav,55.wav,tensor([0.1051]),different,tensor([0.1826])
2.wav,56.wav,tensor([0.1700]),different,tensor([0.1017])
2.wav,57.wav,tensor([0.1266]),different,tensor([0.0906])
2.wav,58.wav,tensor([0.0695]),different,tensor([0.0462])
2.wav,59.wav,tensor([0.1492]),different,tensor([0.1089])
2.wav,60.wav,tensor([0.0779]),different,tensor([0.1236])
2.wav,61.wav,tensor([0.1342]),different,tensor([0.2529])
2.wav,62.wav,tensor([0.1154]),different,tensor([0.1561])
2.wav,63.wav,tensor([0.1514]),different,tensor([0.1229])
2.wav,64.wav,tensor([0.2074]),different,tensor([0.1682])
2.wav,65.wav,tensor([0.1667]),different,tensor([0.1516])
2.wav,66.wav,tensor([0.5133]),different,tensor([0.4092])
2.wav,67.wav,tensor([0.4058]),different,tensor([0.5027])
2.wav,68.wav,tensor([0.4228]),different,tensor([0.5520])
2.wav,69.wav,tensor([0.4836]),different,tensor([0.4900])
2.wav,70.wav,tensor([0.4561]),different,tensor([0.4631])
2.wav,71.wav,tensor([0.3801]),different,tensor([0.4031])
2.wav,72.wav,tensor([0.4992]),different,tensor([0.4928])
2.wav,73.wav,tensor([0.4776]),different,tensor([0.4297])
2.wav,74.wav,tensor([0.3242]),different,tensor([0.4668])
2.wav,75.wav,tensor([0.4141]),different,tensor([0.4893])
2.wav,76.wav,tensor([0.3517]),different,tensor([0.3370])
2.wav,77.wav,tensor([0.3816]),different,tensor([0.3792])
2.wav,78.wav,tensor([0.3046]),different,tensor([0.3784])
2.wav,79.wav,tensor([0.3950]),different,tensor([0.3245])
2.wav,80.wav,tensor([0.3836]),different,tensor([0.4723])
2.wav,81.wav,tensor([0.5718]),different,tensor([0.5403])
2.wav,82.wav,tensor([0.4498]),different,tensor([0.4106])
2.wav,83.wav,tensor([0.4774]),different,tensor([0.4539])
2.wav,84.wav,tensor([0.4610]),different,tensor([0.4626])
2.wav,85.wav,tensor([0.4720]),different,tensor([0.4114])
2.wav,86.wav,tensor([0.2023]),different,tensor([0.1536])
2.wav,87.wav,tensor([0.2595]),different,tensor([0.2459])
2.wav,88.wav,tensor([0.2153]),different,tensor([0.1730])
2.wav,89.wav,tensor([0.1342]),different,tensor([0.0498])
2.wav,90.wav,tensor([0.2241]),different,tensor([0.1821])
2.wav,91.wav,tensor([0.1110]),different,tensor([0.1116])
2.wav,92.wav,tensor([0.1707]),different,tensor([0.1329])
2.wav,93.wav,tensor([0.2315]),different,tensor([0.2166])
2.wav,94.wav,tensor([0.1803]),different,tensor([0.1569])
2.wav,95.wav,tensor([0.1053]),different,tensor([0.0881])
2.wav,96.wav,tensor([0.4012]),different,tensor([0.3259])
2.wav,97.wav,tensor([0.2642]),different,tensor([0.2877])
2.wav,98.wav,tensor([0.1715]),different,tensor([0.2226])
2.wav,99.wav,tensor([0.2091]),different,tensor([0.2288])
2.wav,100.wav,tensor([0.2975]),different,tensor([0.1533])
2.wav,101.wav,tensor([0.1300]),different,tensor([0.0765])
2.wav,102.wav,tensor([0.0715]),different,tensor([0.0539])
2.wav,103.wav,tensor([0.0755]),different,tensor([0.0900])
2.wav,104.wav,tensor([0.1114]),different,tensor([0.0478])
2.wav,105.wav,tensor([0.0815]),different,tensor([0.0502])
2.wav,106.wav,tensor([0.1684]),different,tensor([0.0918])
2.wav,107.wav,tensor([0.1141]),different,tensor([0.1051])
2.wav,108.wav,tensor([0.0805]),different,tensor([0.0258])
2.wav,109.wav,tensor([0.1297]),different,tensor([0.0441])
2.wav,110.wav,tensor([0.1323]),different,tensor([0.0366])
2.wav,111.wav,tensor([0.2144]),different,tensor([0.2757])
2.wav,112.wav,tensor([0.2250]),different,tensor([0.2618])
2.wav,113.wav,tensor([0.2406]),different,tensor([0.3720])
2.wav,114.wav,tensor([0.2696]),different,tensor([0.2891])
2.wav,115.wav,tensor([0.2609]),different,tensor([0.2365])
2.wav,116.wav,tensor([0.1870]),different,tensor([0.1006])
2.wav,117.wav,tensor([0.1339]),different,tensor([0.1175])
2.wav,118.wav,tensor([0.1381]),different,tensor([0.1816])
2.wav,119.wav,tensor([0.0948]),different,tensor([0.1839])
2.wav,120.wav,tensor([0.2057]),different,tensor([0.1467])
2.wav,121.wav,tensor([0.2940]),different,tensor([0.3464])
2.wav,122.wav,tensor([0.3353]),different,tensor([0.3254])
2.wav,123.wav,tensor([0.0668]),different,tensor([0.1489])
2.wav,124.wav,tensor([0.4162]),different,tensor([0.4914])
2.wav,125.wav,tensor([0.4195]),different,tensor([0.4284])
2.wav,126.wav,tensor([0.1708]),different,tensor([0.1508])
2.wav,127.wav,tensor([0.2462]),different,tensor([0.1412])
2.wav,128.wav,tensor([0.1950]),different,tensor([0.0436])
2.wav,129.wav,tensor([0.2178]),different,tensor([0.1173])
2.wav,130.wav,tensor([0.1743]),different,tensor([0.0999])
2.wav,131.wav,tensor([0.1605]),different,tensor([0.1455])
2.wav,132.wav,tensor([0.2162]),different,tensor([0.1241])
2.wav,133.wav,tensor([0.2558]),different,tensor([0.0524])
2.wav,134.wav,tensor([0.1385]),different,tensor([-0.0437])
2.wav,135.wav,tensor([0.1384]),different,tensor([0.0610])
2.wav,136.wav,tensor([0.1564]),different,tensor([0.1479])
2.wav,137.wav,tensor([0.1612]),different,tensor([0.2436])
2.wav,138.wav,tensor([0.1041]),different,tensor([0.1019])
2.wav,139.wav,tensor([0.3082]),different,tensor([0.1306])
2.wav,140.wav,tensor([0.2059]),different,tensor([0.1531])
2.wav,141.wav,tensor([0.2022]),different,tensor([0.3831])
2.wav,142.wav,tensor([0.1363]),different,tensor([0.2827])
2.wav,143.wav,tensor([0.3222]),different,tensor([0.1978])
2.wav,144.wav,tensor([0.1608]),different,tensor([0.1807])
2.wav,145.wav,tensor([0.1412]),different,tensor([0.1684])
2.wav,146.wav,tensor([0.0172]),different,tensor([0.0269])
2.wav,147.wav,tensor([0.1469]),different,tensor([0.2298])
2.wav,148.wav,tensor([0.0571]),different,tensor([0.1405])
2.wav,149.wav,tensor([0.1816]),different,tensor([0.2278])
2.wav,150.wav,tensor([0.0065]),different,tensor([0.0364])
2.wav,151.wav,tensor([-0.0204]),different,tensor([0.0657])
2.wav,152.wav,tensor([0.0718]),different,tensor([0.0975])
2.wav,153.wav,tensor([0.0300]),different,tensor([0.0576])
2.wav,154.wav,tensor([-0.0199]),different,tensor([0.0540])
2.wav,155.wav,tensor([0.0284]),different,tensor([0.0972])
2.wav,156.wav,tensor([0.2468]),different,tensor([0.3671])
2.wav,157.wav,tensor([0.2070]),different,tensor([0.2171])
2.wav,158.wav,tensor([0.2322]),different,tensor([0.2330])
2.wav,159.wav,tensor([0.2420]),different,tensor([0.2915])
2.wav,160.wav,tensor([0.2603]),different,tensor([0.2592])
2.wav,161.wav,tensor([-0.0150]),different,tensor([-0.0241])
2.wav,162.wav,tensor([0.0890]),different,tensor([0.0569])
2.wav,163.wav,tensor([0.0916]),different,tensor([0.0073])
2.wav,164.wav,tensor([0.0437]),different,tensor([0.0313])
2.wav,165.wav,tensor([0.0115]),different,tensor([-0.0191])
2.wav,166.wav,tensor([0.2681]),different,tensor([0.3211])
2.wav,167.wav,tensor([0.2685]),different,tensor([0.2594])
2.wav,168.wav,tensor([0.2813]),different,tensor([0.2149])
2.wav,169.wav,tensor([0.2514]),different,tensor([0.3426])
2.wav,170.wav,tensor([0.1709]),different,tensor([0.2532])
2.wav,171.wav,tensor([0.0320]),different,tensor([0.0598])
2.wav,172.wav,tensor([-0.0165]),different,tensor([0.0771])
2.wav,173.wav,tensor([0.0259]),different,tensor([0.0602])
2.wav,174.wav,tensor([-0.0233]),different,tensor([0.0356])
2.wav,175.wav,tensor([0.0933]),different,tensor([0.1764])
2.wav,176.wav,tensor([0.1840]),different,tensor([0.1111])
2.wav,177.wav,tensor([0.2374]),different,tensor([0.1742])
2.wav,178.wav,tensor([0.2514]),different,tensor([0.1171])
2.wav,179.wav,tensor([0.2333]),different,tensor([0.1841])
2.wav,180.wav,tensor([0.2390]),different,tensor([0.0839])
2.wav,181.wav,tensor([0.2583]),different,tensor([0.1793])
2.wav,182.wav,tensor([0.1028]),different,tensor([0.1157])
2.wav,183.wav,tensor([0.1344]),different,tensor([0.1772])
2.wav,184.wav,tensor([0.0987]),different,tensor([0.1027])
2.wav,185.wav,tensor([0.1214]),different,tensor([0.1633])
2.wav,186.wav,tensor([0.0796]),different,tensor([0.0569])
2.wav,187.wav,tensor([0.1510]),different,tensor([0.2261])
2.wav,188.wav,tensor([0.1610]),different,tensor([0.1619])
2.wav,189.wav,tensor([0.0869]),different,tensor([0.1578])
2.wav,190.wav,tensor([0.1401]),different,tensor([0.2486])
2.wav,191.wav,tensor([0.0731]),different,tensor([0.1443])
2.wav,192.wav,tensor([-0.0301]),different,tensor([0.0712])
2.wav,193.wav,tensor([0.1272]),different,tensor([0.1071])
2.wav,194.wav,tensor([0.1095]),different,tensor([0.0404])
2.wav,195.wav,tensor([0.0773]),different,tensor([0.1405])
2.wav,196.wav,tensor([0.0211]),different,tensor([0.0834])
2.wav,197.wav,tensor([0.0443]),different,tensor([0.1704])
2.wav,198.wav,tensor([0.0914]),different,tensor([0.1172])
2.wav,199.wav,tensor([0.1205]),different,tensor([0.1642])
2.wav,200.wav,tensor([0.0956]),different,tensor([0.2245])
3.wav,4.wav,tensor([0.6583]),same,tensor([0.6699])
3.wav,5.wav,tensor([0.7062]),same,tensor([0.7095])
3.wav,6.wav,tensor([0.4697]),different,tensor([0.4802])
3.wav,7.wav,tensor([0.5057]),different,tensor([0.5687])
3.wav,8.wav,tensor([0.5284]),different,tensor([0.5561])
3.wav,9.wav,tensor([0.5529]),different,tensor([0.5960])
3.wav,10.wav,tensor([0.5868]),different,tensor([0.5405])
3.wav,11.wav,tensor([0.3965]),different,tensor([0.4454])
3.wav,12.wav,tensor([0.4003]),different,tensor([0.3743])
3.wav,13.wav,tensor([0.4974]),different,tensor([0.4390])
3.wav,14.wav,tensor([0.3708]),different,tensor([0.2294])
3.wav,15.wav,tensor([0.2783]),different,tensor([0.2752])
3.wav,16.wav,tensor([0.1629]),different,tensor([0.2140])
3.wav,17.wav,tensor([0.1985]),different,tensor([0.2001])
3.wav,18.wav,tensor([0.1574]),different,tensor([0.2678])
3.wav,19.wav,tensor([0.2111]),different,tensor([0.2121])
3.wav,20.wav,tensor([0.1564]),different,tensor([0.1036])
3.wav,21.wav,tensor([0.2968]),different,tensor([0.3091])
3.wav,22.wav,tensor([0.2139]),different,tensor([0.1887])
3.wav,23.wav,tensor([0.2442]),different,tensor([0.2163])
3.wav,24.wav,tensor([0.2958]),different,tensor([0.2915])
3.wav,25.wav,tensor([0.1620]),different,tensor([0.2044])
3.wav,26.wav,tensor([0.3107]),different,tensor([0.2301])
3.wav,27.wav,tensor([0.1720]),different,tensor([0.1789])
3.wav,28.wav,tensor([0.2953]),different,tensor([0.2604])
3.wav,29.wav,tensor([0.2899]),different,tensor([0.2099])
3.wav,30.wav,tensor([0.2430]),different,tensor([0.3425])
3.wav,31.wav,tensor([0.3504]),different,tensor([0.5043])
3.wav,32.wav,tensor([0.5137]),different,tensor([0.5998])
3.wav,33.wav,tensor([0.3523]),different,tensor([0.3575])
3.wav,34.wav,tensor([0.4029]),different,tensor([0.4594])
3.wav,35.wav,tensor([0.4650]),different,tensor([0.4761])
3.wav,36.wav,tensor([0.1864]),different,tensor([0.2196])
3.wav,37.wav,tensor([0.2020]),different,tensor([0.2076])
3.wav,38.wav,tensor([0.1920]),different,tensor([0.1506])
3.wav,39.wav,tensor([0.1699]),different,tensor([0.2385])
3.wav,40.wav,tensor([0.1822]),different,tensor([0.1667])
3.wav,41.wav,tensor([0.2096]),different,tensor([0.2660])
